id,title,rank,start_date,studio,mean,popularity,num_list_users,num_scoring_users,genres
48753,Jahy-sama wa Kujikenai!,4176,2021-08-01,SILVER LINK.,7.03,984,246013,84824,
31405,Joker Game,4177,2016-04-05,Production I.G,7.03,1143,210925,88644,
56830,Journey to Bloom,4178,2023-09-30,P.A. Works,7.03,11505,1816,819,
2569,Jungle Book Shounen Mowgli,4179,1989-10-09,Nippon Animation,7.03,7160,7509,3919,
36625,Ajin Part 2 OVA,4180,2017-04-07,Polygon Pictures,7.02,5237,16294,5762,
58,Blue Gender,4181,1999-10-08,AIC,7.02,2352,81281,30386,
9539,Cardfight!! Vanguard,4182,2011-01-08,TMS Entertainment,7.02,2984,54077,26757,
1014,Chicchana Yukitsukai Sugar Specials,4183,2003-08-21,J.C.Staff,7.02,8083,5581,2406,
18745,Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,4184,2013-09-13,Madhouse,7.02,3305,44466,21231,
2124,Code Geass: Hangyaku no Lelouch Recaps,4185,2006-12-01,Sunrise,7.02,3648,37334,16203,
8358,Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,4186,1993-07-24,Shin-Ei Animation,7.02,6661,8927,5413,
14829,Fate/kaleid liner Prisma☆Illya,4187,2013-07-13,SILVER LINK.,7.02,877,276033,125647,
36344,Full Metal Panic! Movie 3: Into the Blue,4188,2018-01-20,Gonzo,7.02,7256,7226,1154,
1179,Gakuen Senki Muryou,4189,2001-05-08,Madhouse,7.02,7104,7641,1990,
395,Gantz 2nd Stage,4190,2004-08-26,Gonzo,7.02,1436,162574,98309,
2815,Geragera Boes Monogatari,4191,1987-04-07,Telescreen,7.02,11480,1830,881,
16982,Hayate no Gotoku! Cuties,4192,2013-04-09,Manglobe,7.02,3269,45372,20235,
31234,Himouto! Umaru-chanS,4193,2015-09-16,Doga Kobo,7.02,2369,80054,38922,
30030,Jewelpet Magical Change,4194,2015-04-04,Studio Deen,7.02,9782,3185,863,
39833,Junk Head,4195,2017-07-23,Yamiken,7.02,11952,1550,539,
20649,Kimi no Iru Machi OVA,4196,2014-01-17,Gonzo,7.02,4910,19432,9035,
634,Koi Kaze,4197,2004-04-02,A.C.G.T.,7.02,2288,85358,30357,
1417,Lupin III: Moeyo Zantetsuken!,4198,1994-07-29,A.C.G.T.,7.02,6673,8895,3872,
2223,Maple Town Monogatari,4199,1986-01-19,Toei Animation,7.02,9912,3037,898,
10397,Mashiro-iro Symphony: The Color of Lovers,4200,2011-10-05,Manglobe,7.02,1494,155365,75281,
4056,Masuda Kousuke Gekijou Gag Manga Biyori 3,4201,2008-03-17,Studio Deen,7.02,9921,3025,1344,
13839,Meitantei Conan OVA 12: Excalibur no Kiseki,4202,2012-05-24,TMS Entertainment,7.02,6015,11486,5368,
51782,Meitantei Conan: Honchou no Keiji Koi Monogatari - Kekkon Zenya,4203,2022-04-15,TMS Entertainment,7.02,11581,1771,727,
21603,Mekakucity Actors,4204,2014-04-13,Shaft,7.02,509,441348,204283,
10370,Metal Fight Beyblade 4D,4205,2011-04-03,SynergySP,7.02,3162,48345,31141,
24171,Mushibugyou OVA,4206,2014-07-18,Seven Arcs Pictures,7.02,6854,8389,3282,
1688,Nanatsu-iro★Drops,4207,2007-07-03,Diomedéa,7.02,4556,22935,9061,
23673,Ookami Shoujo to Kuro Ouji,4208,2014-10-05,TYO Animations,7.02,478,470914,255325,
32013,Oshiete! Galko-chan,4209,2016-01-08,feel.,7.02,1323,179915,78414,
1569,Otome wa Boku ni Koishiteru,4210,2006-10-08,feel.,7.02,2730,63515,26349,
5440,Ougon Yuusha Goldran,4211,1995-02-04,Sunrise,7.02,9968,2971,689,
1944,Photon,4212,1997-11-21,AIC,7.02,5395,15099,6552,
40313,Promare: Lio-hen,4213,2019-05-24,Trigger,7.02,4110,29048,14735,
15905,Qin Shi Mingyue: Wanli Changcheng,4214,2012-09-30,Sparkly Key Animation Studio,7.02,12194,1424,375,
16051,Ro-Kyu-Bu! SS,4215,2013-07-05,Barnum Studio,7.02,3599,38395,18427,
42395,Shakunetsu Kabaddi,4216,2021-04-03,TMS Entertainment,7.02,2055,101059,40081,
79,Shuffle!,4217,2005-07-08,asread.,7.02,866,278819,135758,
5307,Sora wo Kakeru Shoujo,4218,2009-01-06,Sunrise,7.02,4305,26300,8253,
3332,Stop!! Hibari-kun!,4219,1983-05-20,Toei Animation,7.02,6155,10849,2043,
39995,Super Senko-san Time Episode 12,4220,2019-09-25,Doga Kobo,7.02,5686,13270,4297,
448,Tenjou Tenge: The Ultimate Fight,4221,2005-03-16,Madhouse,7.02,3398,42554,23224,
27899,Tokyo Ghoul √A,4222,2015-01-09,Pierrot,7.02,48,1768234,1195201,
5830,Tsurupika Hagemaru-kun,4223,1988-03-03,Shin-Ei Animation,7.02,9604,3374,2187,
